5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
,,,,,,,,,-0.59,-0.59,0
,,period gain: ,0.0,it is recommended to: buy,1,rsi index is: 1,arima index is: 0.09803907920145709,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
5-5 17:56,9784.01,,,,,,,,,,
